name,value,date,type
简自豪,11592372,2019-12-13 14:43:54,People
王一博,7898770,2019-12-13 14:43:54,People
肖战,4347233,2019-12-13 14:43:54,People
朱一龙,2905732,2019-12-13 14:43:54,People
姜承録,2675181,2019-12-13 14:43:54,People
明凯,1871265,2019-12-13 14:43:54,People
李现,1149240,2019-12-13 14:43:54,People
迪丽热巴,1077223,2019-12-13 14:43:54,People
华晨宇,738575,2019-12-13 14:43:54,People
薛之谦,719430,2019-12-13 14:43:54,People
蔡徐坤,531931,2019-12-13 14:43:54,People
杨紫,405629,2019-12-13 14:43:54,People
喻文波,392371,2019-12-13 14:43:54,People
邓伦,371594,2019-12-13 14:43:54,People
周震南,371425,2019-12-13 14:43:54,People
马天宇,371063,2019-12-13 14:43:54,People
陈立农,350943,2019-12-13 14:43:54,People
张艺兴,220848,2019-12-13 14:43:54,People
王嘉尔,213373,2019-12-13 14:43:54,People
朱正廷,172115,2019-12-13 14:43:54,People
黄明昊,170544,2019-12-13 14:43:54,People
赵丽颖,163453,2019-12-13 14:43:54,People
杨幂,158587,2019-12-13 14:43:54,People
李汶翰,144244,2019-12-13 14:43:54,People
李易峰,140393,2019-12-13 14:43:54,People
罗云熙,131690,2019-12-13 14:43:54,People
吴亦凡,130203,2019-12-13 14:43:54,People
鹿晗,126892,2019-12-13 14:43:54,People
朱婷,120760,2019-12-13 14:43:54,People
黄景瑜,117508,2019-12-13 14:43:54,People
范丞丞,113740,2019-12-13 14:43:54,People
胡歌,92747,2019-12-13 14:43:54,People
鞠婧祎,90359,2019-12-13 14:43:54,People
张杰,81469,2019-12-13 14:43:54,People
王凯,73381,2019-12-13 14:43:54,People
白宇,65706,2019-12-13 14:43:54,People
杨洋,65161,2019-12-13 14:43:54,People
陈伟霆,64088,2019-12-13 14:43:54,People
许凯,63486,2019-12-13 14:43:54,People
史森明,60843,2019-12-13 14:43:54,People
金泰相,58671,2019-12-13 14:43:54,People
刘昊然,56957,2019-12-13 14:43:54,People
毛不易,52811,2019-12-13 14:43:54,People
孟美岐,51870,2019-12-13 14:43:54,People
宋义进,49306,2019-12-13 14:43:54,People
宋茜,42288,2019-12-13 14:43:54,People
李宇春,40423,2019-12-13 14:43:54,People
邓紫棋,34506,2019-12-13 14:43:54,People
杨超越,33913,2019-12-13 14:43:54,People
张哲瀚,33860,2019-12-13 14:43:54,People
刘诗诗,30837,2019-12-13 14:43:54,People
张雪迎,28572,2019-12-13 14:43:54,People
黄子韬,27313,2019-12-13 14:43:54,People
李沁,25469,2019-12-13 14:43:54,People
吴磊,25352,2019-12-13 14:43:54,People
赵薇,21537,2019-12-13 14:43:54,People
吴宣仪,21397,2019-12-13 14:43:54,People
彭昱畅,20303,2019-12-13 14:43:54,People
罗志祥,20073,2019-12-13 14:43:54,People
angelababy,19943,2019-12-13 14:43:54,People
李元浩,19936,2019-12-13 14:43:54,People
井柏然,18635,2019-12-13 14:43:54,People
高天亮,15998,2019-12-13 14:43:54,People
易建联,14872,2019-12-13 14:43:54,People
张靓颖,14226,2019-12-13 14:43:54,People
孙燕姿,13722,2019-12-13 14:43:54,People
