name,value,date,type
不愧是我,828638,2019-12-13 14:43:54,Popular
盘他,391447,2019-12-13 14:43:54,Popular
OMG买它,215594,2019-12-13 14:43:54,Popular
阿中,91691,2019-12-13 14:43:54,Popular
我太南了,54650,2019-12-13 14:43:54,Popular
A爆了（超A）,47238,2019-12-13 14:43:54,Popular
爱你三千遍,19562,2019-12-13 14:43:54,Popular
太上头了,16899,2019-12-13 14:43:54,Popular
awsl（阿伟死了）,6622,2019-12-13 14:43:54,Popular
明言明语,5986,2019-12-13 14:43:54,Popular
夕阳红粉丝团,4822,2019-12-13 14:43:54,Popular
我不要你觉得，我要我觉得,3769,2019-12-13 14:43:54,Popular
害！,2466,2019-12-13 14:43:54,Popular
真香,2228,2019-12-13 14:43:54,Popular
我酸了,1842,2019-12-13 14:43:54,Popular
雨女无瓜,1777,2019-12-13 14:43:54,Popular
甜甜的恋爱,1410,2019-12-13 14:43:54,Popular
百因必有果，你的报应就是我,1234,2019-12-13 14:43:54,Popular
所有女生,1063,2019-12-13 14:43:54,Popular
咱也不敢说咱也不敢问,1028,2019-12-13 14:43:54,Popular
你是什么垃圾,923,2019-12-13 14:43:54,Popular
我信你个鬼哦,760,2019-12-13 14:43:54,Popular
道路千万条，安全第一条。行车不规范，亲人两行泪。,733,2019-12-13 14:43:54,Popular
品如的衣服,524,2019-12-13 14:43:54,Popular
被安排的明明白白,414,2019-12-13 14:43:54,Popular
窝窝头一块钱四个,404,2019-12-13 14:43:54,Popular
转发这个苏大强,383,2019-12-13 14:43:54,Popular
9102,361,2019-12-13 14:43:54,Popular
杠精,337,2019-12-13 14:43:54,Popular
好嗨哟,307,2019-12-13 14:43:54,Popular
你为什么能发语音,297,2019-12-13 14:43:54,Popular
妈妈我想吃烤山药,286,2019-12-13 14:43:54,Popular
爱了爱了,237,2019-12-13 14:43:54,Popular
亚子,201,2019-12-13 14:43:54,Popular
谈恋爱吗？坐牢的那种,129,2019-12-13 14:43:54,Popular
硬核,83,2019-12-13 14:43:54,Popular
要你寡,83,2019-12-13 14:43:54,Popular
母单花,66,2019-12-13 14:43:54,Popular
牛油果女孩,56,2019-12-13 14:43:54,Popular
外卖自由,55,2019-12-13 14:43:54,Popular
苏大强式女友,53,2019-12-13 14:43:54,Popular
薅羊毛废柴,47,2019-12-13 14:43:54,Popular
不愧是我,956232,2019-12-14 11:57:51,Popular
盘他,502888,2019-12-14 11:57:51,Popular
OMG买它,254588,2019-12-14 11:57:51,Popular
阿中,109537,2019-12-14 11:57:51,Popular
我太南了,66202,2019-12-14 11:57:51,Popular
A爆了（超A）,55294,2019-12-14 11:57:51,Popular
爱你三千遍,31170,2019-12-14 11:57:51,Popular
太上头了,18717,2019-12-14 11:57:51,Popular
awsl（阿伟死了）,9377,2019-12-14 11:57:51,Popular
明言明语,6596,2019-12-14 11:57:51,Popular
夕阳红粉丝团,5607,2019-12-14 11:57:51,Popular
我不要你觉得，我要我觉得,4455,2019-12-14 11:57:51,Popular
害！,3224,2019-12-14 11:57:51,Popular
真香,3002,2019-12-14 11:57:51,Popular
雨女无瓜,2322,2019-12-14 11:57:51,Popular
我酸了,2310,2019-12-14 11:57:51,Popular
甜甜的恋爱,1628,2019-12-14 11:57:51,Popular
百因必有果，你的报应就是我,1564,2019-12-14 11:57:51,Popular
咱也不敢说咱也不敢问,1251,2019-12-14 11:57:51,Popular
所有女生,1228,2019-12-14 11:57:51,Popular
你是什么垃圾,1135,2019-12-14 11:57:51,Popular
我信你个鬼哦,959,2019-12-14 11:57:51,Popular
道路千万条，安全第一条。行车不规范，亲人两行泪。,929,2019-12-14 11:57:51,Popular
品如的衣服,694,2019-12-14 11:57:51,Popular
窝窝头一块钱四个,535,2019-12-14 11:57:51,Popular
转发这个苏大强,488,2019-12-14 11:57:51,Popular
被安排的明明白白,484,2019-12-14 11:57:51,Popular
9102,454,2019-12-14 11:57:51,Popular
好嗨哟,420,2019-12-14 11:57:51,Popular
杠精,405,2019-12-14 11:57:51,Popular
你为什么能发语音,362,2019-12-14 11:57:51,Popular
妈妈我想吃烤山药,358,2019-12-14 11:57:51,Popular
爱了爱了,316,2019-12-14 11:57:51,Popular
亚子,261,2019-12-14 11:57:51,Popular
谈恋爱吗？坐牢的那种,173,2019-12-14 11:57:51,Popular
母单花,112,2019-12-14 11:57:51,Popular
硬核,109,2019-12-14 11:57:51,Popular
要你寡,105,2019-12-14 11:57:51,Popular
薅羊毛废柴,88,2019-12-14 11:57:51,Popular
牛油果女孩,82,2019-12-14 11:57:51,Popular
外卖自由,82,2019-12-14 11:57:51,Popular
苏大强式女友,71,2019-12-14 11:57:51,Popular
